login,num_of_deals_1_min
11278370,2
13174526,1
13174584,1
14048482,1
14312646,6
14958660,2
15273193,1
16341886,1
19217238,2
19296714,1
19323257,2
19377815,1
20219786,2
20219982,2
20224906,1
20329952,2
20458869,2
20546812,1
20781124,11
20971742,2
21139617,1
21167604,1
21181475,6
21223673,2
21420496,3
21929150,3
22074800,1
22077033,1
22101234,7
22126356,4
22197630,1
22198100,4
22221563,2
22242721,1
22246111,3
22246145,1
22246150,1
22246161,1
22333841,2
22339012,2
22343080,2
22348830,6
22352813,1
22389224,2
22414314,2
22414321,1
22418072,1
22460156,1
22464226,1
22473652,2
22476915,2
22541906,3
22554523,2
22571075,25
22583119,1
22595940,7
22615503,1
22644113,3
22694788,17
22780279,1
22832788,4
22837778,12
22852526,3
22855768,1
22885041,2
22894757,2
22894864,1
22900691,1
22900703,1
22900708,2
22938617,2
22959470,1
22973082,1
22977880,39
22993544,10
23023397,4
23077164,2
23079840,3
23085785,17
23109369,10
23121797,8
23125487,1
23154646,32
23209629,5
23216358,1
23219837,25
23300812,1
23301612,3
23315319,1
23317398,1
23342763,2
290191028,1
290415539,2
290420240,1
290420701,2
290464558,1
290465121,4
290469515,1
290474245,2
290475209,1
290491889,3
290499628,2
290504944,1
290508534,1
290516593,1
290527154,1
290533431,1
290541589,5
290550104,2
290568509,1
290569408,1
290578703,1
290580372,1
290584505,10
290586134,1
290590761,1
290592554,1
290603503,4
290609954,2
290610139,1
290612577,1
290613949,1
290618615,3
290622638,1
290624581,3
290625060,1
290625652,1
290627505,1
290629599,1
290630630,1
290630765,1
290636581,1
290639159,2
290642693,2
290645511,2
290646221,2
290649590,3
290649858,1
290650470,1
290650627,1
290651021,1
290652631,1
290652641,1
290652643,2
290652644,2
290652685,1
290652722,2
290652977,1
290655628,1
290656290,1
290656387,1
290657237,2
290661652,3
290661696,1
290664562,9
290665971,1
290666246,1
290668534,1
290669663,2
290670256,1
290670588,1
290672747,1
290673688,2
290673833,1
290675276,3
290675616,3
290675685,1
290676980,3
290677497,1
290678155,3
290678161,4
290678164,3
9286519,1
9826480,7
