login,num_of_unordered_pairs_of_deals_30_s
11278370,2
12067608,4
12142323,2
13174526,3
13174584,1
13558609,9
14048482,17
15083738,10
15107092,4
15273193,4
15610658,4
15788793,2
15844810,1
16087160,1
16640848,2
16668054,2
18007988,7
18290998,192
18673759,21
19080569,49
19285368,1
19296714,13
19323257,1
19377815,1
19703319,137
20092136,2
20208440,3
20219786,1
20219982,1
20224906,2
20268693,26
20329952,3
20546812,114
20781124,63
20852969,15
20912929,5
20940019,2
20950164,1
20971742,2
21139617,16
21167604,1
21181475,1
21201186,4
21223673,10
21420496,188
21483352,1
21719046,2
21892806,1
21929150,230
21983147,3
22057916,1
22074800,2
22074820,2
22075313,2
22077033,1
22086826,3
22197630,1
22198100,206
22221563,1
22230013,59
22230023,74
22242721,2
22245848,2
22246111,4
22246145,4
22246150,2
22246161,4
22326851,2
22333841,4
22339012,1
22343080,4
22354961,1
22389224,6
22414314,2
22414321,2
22464226,1
22465973,5
22473652,1
22476915,4
22518394,2
22529738,5
22530945,2
22541906,1
22545770,1
22546245,5
22549938,4
22554523,3
22561083,6
22571075,202
22578903,22
22583119,3
22587650,11
22595940,203
22615503,2
22617710,2
22644113,1
22694788,1
22696546,1
22780279,5
22806670,4
22832788,1
22852526,3
22855768,7
22872638,2
22885041,1
22888209,3
22891700,8
22894757,1
22894965,1
22895118,2
22895205,1
22900703,1
22900708,1
22935878,9
22959470,1
22973082,3
22977880,3
23052864,5
23077164,3
23079840,1
23085785,1
23109369,1
23121797,9
23125487,1
23129051,4
23146061,8
23154646,1
23216358,1
23241237,122
23248286,2
23270801,1
23283270,32
23293744,43
23303573,21
23315319,29
23336487,4
23342763,3
290179144,1
290389398,2
290415539,1
290420240,1
290455359,1
290465121,1
290474872,1
290533431,2
290561589,1
290582110,4
290584505,2
290585409,1
290586134,1
290586217,1
290588648,1
290590761,1
290592531,1
290592577,2
290603503,7
290609954,1
290612577,4
290624581,1
290626748,1
290627505,12
290630765,17
290632223,4
290639156,1
290639159,1
290644260,1
290645168,1
290645511,1
290650470,1
290651038,2
290651161,1
290652639,1
290652977,3
290656290,5
290657237,3
290661652,1
290662055,1
290662884,2
290664562,8
290669406,1
290669663,2
290670588,2
290674375,12
290675276,8
290675300,1
290676702,1
290677455,1
290677507,5
290678155,1
290678161,1
290678164,1
9286519,1
9826480,3
