login,num_of_deals_1_min,num_of_unordered_pairs_of_deals_30_s
11278370,2.0,2.0
12067608,,4.0
12142323,,2.0
13174526,1.0,3.0
13174584,1.0,1.0
13558609,,9.0
14048482,1.0,17.0
14312646,6.0,
14958660,2.0,
15083738,,10.0
15107092,,4.0
15273193,1.0,4.0
15610658,,4.0
15788793,,2.0
15844810,,1.0
16087160,,1.0
16341886,1.0,
16640848,,2.0
16668054,,2.0
18007988,,7.0
18290998,,192.0
18673759,,21.0
19080569,,49.0
19217238,2.0,
19285368,,1.0
19296714,1.0,13.0
19323257,2.0,1.0
19377815,1.0,1.0
19703319,,137.0
20092136,,2.0
20208440,,3.0
20219786,2.0,1.0
20219982,2.0,1.0
20224906,1.0,2.0
20268693,,26.0
20329952,2.0,3.0
20458869,2.0,
20546812,1.0,114.0
20781124,11.0,63.0
20852969,,15.0
20912929,,5.0
20940019,,2.0
20950164,,1.0
20971742,2.0,2.0
21139617,1.0,16.0
21167604,1.0,1.0
21181475,6.0,1.0
21201186,,4.0
21223673,2.0,10.0
21420496,3.0,188.0
21483352,,1.0
21719046,,2.0
21892806,,1.0
21929150,3.0,230.0
21983147,,3.0
22057916,,1.0
22074800,1.0,2.0
22074820,,2.0
22075313,,2.0
22077033,1.0,1.0
22086826,,3.0
22101234,7.0,
22126356,4.0,
22197630,1.0,1.0
22198100,4.0,206.0
22221563,2.0,1.0
22230013,,59.0
22230023,,74.0
22242721,1.0,2.0
22245848,,2.0
22246111,3.0,4.0
22246145,1.0,4.0
22246150,1.0,2.0
22246161,1.0,4.0
22326851,,2.0
22333841,2.0,4.0
22339012,2.0,1.0
22343080,2.0,4.0
22348830,6.0,
22352813,1.0,
22354961,,1.0
22389224,2.0,6.0
22414314,2.0,2.0
22414321,1.0,2.0
22418072,1.0,
22460156,1.0,
22464226,1.0,1.0
22465973,,5.0
22473652,2.0,1.0
22476915,2.0,4.0
22518394,,2.0
22529738,,5.0
22530945,,2.0
22541906,3.0,1.0
22545770,,1.0
22546245,,5.0
22549938,,4.0
22554523,2.0,3.0
22561083,,6.0
22571075,25.0,202.0
22578903,,22.0
22583119,1.0,3.0
22587650,,11.0
22595940,7.0,203.0
22615503,1.0,2.0
22617710,,2.0
22644113,3.0,1.0
22694788,17.0,1.0
22696546,,1.0
22780279,1.0,5.0
22806670,,4.0
22832788,4.0,1.0
22837778,12.0,
22852526,3.0,3.0
22855768,1.0,7.0
22872638,,2.0
22885041,2.0,1.0
22888209,,3.0
22891700,,8.0
22894757,2.0,1.0
22894864,1.0,
22894965,,1.0
22895118,,2.0
22895205,,1.0
22900691,1.0,
22900703,1.0,1.0
22900708,2.0,1.0
22935878,,9.0
22938617,2.0,
22959470,1.0,1.0
22973082,1.0,3.0
22977880,39.0,3.0
22993544,10.0,
23023397,4.0,
23052864,,5.0
23077164,2.0,3.0
23079840,3.0,1.0
23085785,17.0,1.0
23109369,10.0,1.0
23121797,8.0,9.0
23125487,1.0,1.0
23129051,,4.0
23146061,,8.0
23154646,32.0,1.0
23209629,5.0,
23216358,1.0,1.0
23219837,25.0,
23241237,,122.0
23248286,,2.0
23270801,,1.0
23283270,,32.0
23293744,,43.0
23300812,1.0,
23301612,3.0,
23303573,,21.0
23315319,1.0,29.0
23317398,1.0,
23336487,,4.0
23342763,2.0,3.0
290179144,,1.0
290191028,1.0,
290389398,,2.0
290415539,2.0,1.0
290420240,1.0,1.0
290420701,2.0,
290455359,,1.0
290464558,1.0,
290465121,4.0,1.0
290469515,1.0,
290474245,2.0,
290474872,,1.0
290475209,1.0,
290491889,3.0,
290499628,2.0,
290504944,1.0,
290508534,1.0,
290516593,1.0,
290527154,1.0,
290533431,1.0,2.0
290541589,5.0,
290550104,2.0,
290561589,,1.0
290568509,1.0,
290569408,1.0,
290578703,1.0,
290580372,1.0,
290582110,,4.0
290584505,10.0,2.0
290585409,,1.0
290586134,1.0,1.0
290586217,,1.0
290588648,,1.0
290590761,1.0,1.0
290592531,,1.0
290592554,1.0,
290592577,,2.0
290603503,4.0,7.0
290609954,2.0,1.0
290610139,1.0,
290612577,1.0,4.0
290613949,1.0,
290618615,3.0,
290622638,1.0,
290624581,3.0,1.0
290625060,1.0,
290625652,1.0,
290626748,,1.0
290627505,1.0,12.0
290629599,1.0,
290630630,1.0,
290630765,1.0,17.0
290632223,,4.0
290636581,1.0,
290639156,,1.0
290639159,2.0,1.0
290642693,2.0,
290644260,,1.0
290645168,,1.0
290645511,2.0,1.0
290646221,2.0,
290649590,3.0,
290649858,1.0,
290650470,1.0,1.0
290650627,1.0,
290651021,1.0,
290651038,,2.0
290651161,,1.0
290652631,1.0,
290652639,,1.0
290652641,1.0,
290652643,2.0,
290652644,2.0,
290652685,1.0,
290652722,2.0,
290652977,1.0,3.0
290655628,1.0,
290656290,1.0,5.0
290656387,1.0,
290657237,2.0,3.0
290661652,3.0,1.0
290661696,1.0,
290662055,,1.0
290662884,,2.0
290664562,9.0,8.0
290665971,1.0,
290666246,1.0,
290668534,1.0,
290669406,,1.0
290669663,2.0,2.0
290670256,1.0,
290670588,1.0,2.0
290672747,1.0,
290673688,2.0,
290673833,1.0,
290674375,,12.0
290675276,3.0,8.0
290675300,,1.0
290675616,3.0,
290675685,1.0,
290676702,,1.0
290676980,3.0,
290677455,,1.0
290677497,1.0,
290677507,,5.0
290678155,3.0,1.0
290678161,4.0,1.0
290678164,3.0,1.0
9286519,1.0,1.0
9826480,7.0,3.0
